"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C17,C22","10uF","~","-- mixed values --","3",""
"C2,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15","100n","~","-- mixed values --","11",""
"C3,C4,C5","4.7u","~","Capacitor_SMD:C_0402_1005Metric","3",""
"C16,C20,C23",".47uF","~","Capacitor_SMD:C_0201_0603Metric","3",""
"C18,C19","15pF","~","","2",""
"C21",".1uF","~","Capacitor_SMD:C_0402_1005Metric","1",""
"J1","SPEAKER OUT","~","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Vertical","1",""
"L1","3.3u","~","Inductor_SMD:L_1806_4516Metric","1",""
"P1","USB_C_Plug_USB2.0","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","","1",""
"R1","33","~","Resistor_SMD:R_0402_1005Metric","1",""
"R2","0","~","","1",""
"R3","DNP","~","","1",""
"R4,R7,R8","1k","~","","3",""
"R5,R6","27","~","Resistor_SMD:R_0402_1005Metric","2",""
"R9,R10,R11,R12,R13","10k","~","","5",""
"SW1,SW2","SW_Push","~","","2",""
"U1","RP2350B-QFN80","","","1",""
"U2","LD1117S33TR_SOT223","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"U3","W25Q128JVS","https://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","1",""
"U4","SI4703-C19-GM","SI4703-C19-GM","QFN20_3X3_SIL","1",""
"U5","PAM8302AAS","https://www.diodes.com/assets/Datasheets/PAM8302A.pdf","Package_SO:MSOP-8_3x3mm_P0.65mm","1",""
"U6","TL071","http://www.ti.com/lit/ds/symlink/tl071.pdf","","1",""
"Y1","ABM8-272-T3","","ABM8-272-T3:XTAL_ABM8-272-T3","1",""
