Reference,Value,Datasheet,Footprint,Qty,LCSC Part #
"C1,C2",15p,~,Capacitor_SMD:C_0402_1005Metric,2,C1548
"C3,C5",22uF,~,Capacitor_SMD:C_0805_2012Metric,2,C5674
"C4,C10,C13,C15,C16,C17,C18,C19,C20,C21,C22,C23",100n,~,Capacitor_SMD:C_0402_1005Metric,12,C1525
"C6,C9,C14",10u,~,Capacitor_SMD:C_0805_2012Metric,3,C15850
"C7,C8,C11,C12",4.7u,~,Capacitor_SMD:C_0402_1005Metric,4,C23733
"C24,C25",0.1uF,~,Capacitor_SMD:C_0402_1005Metric,2,C77012
"C26,C36",10uF,~,Capacitor_SMD:C_0805_2012Metric,2,C15850
"C27,C28,C29,C30,C31,C32",22nF,~,Capacitor_SMD:C_0402_1005Metric,6,C1532
C33,1uF,~,Capacitor_SMD:C_0402_1005Metric,1,C52923
C34,0.05uF,~,Capacitor_SMD:C_0402_1005Metric,1,C1525
C35,200uF,~,Capacitor_SMD:CP_Elec_6.3x4.5,1,C51953393
C37,.1uF,~,Capacitor_SMD:C_0402_1005Metric,1,C1525
CR1,BAT60JFILM,BAT60JFILM,diode shite:CR_60JFILM_STM-M,1,C133103
,,,,,
J2,USB_C_Receptacle_USB2.0_14P,https://www.usb.org/sites/default/files/documents/usb_type-c.zip,Connector_USB:USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,C2988369
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
L1,3.3u,~,Custom:L_pol_2016,1,C42411119
PD1,RED,~,LED_SMD:LED_0805_2012Metric,1,C84256
PD2,GREEN,~,LED_SMD:LED_0805_2012Metric,1,C2297
"R1,R2,R7",5.1k,~,Resistor_SMD:R_0402_1005Metric,3,C25905
"R3,R4,R6,R8,R11,R12,R13,R14,R15,R16,R18,R24,R28,R36,R37,R40",1k,~,Resistor_SMD:R_0402_1005Metric,16,C11702
R5,33,~,Resistor_SMD:R_0402_1005Metric,1,C25105
"R9,R10",27,~,Resistor_SMD:R_0402_1005Metric,2,C137890
"R17,R23,R25,R26,R39",10k,~,Resistor_SMD:R_0402_1005Metric,5,C25531
"R19,R20,R21,R22",100k,~,Resistor_SMD:R_0402_1005Metric,4,C176119
R27,10k,~,Resistor_SMD:R_0402_1005Metric,1,C25531
"R29,R30,R31,R32,R33,R34,R35",2k,~,Resistor_SMD:R_0402_1005Metric,7,C4109
R38,10,~,Resistor_SMD:R_0402_1005Metric,1,C174147
SW1,BOOTSEL,~,Button_Switch_SMD:SW_SPST_PTS647_Sx38,1,C2689502
SW2,RESET,~,Button_Switch_SMD:SW_SPST_PTS647_Sx38,1,C2689502
U1,AMS1117-5.0,http://www.advanced-monolithic.com/pdf/ds1117.pdf,Package_TO_SOT_SMD:SOT-223-3_TabPin2,1,C6187
U2,W25Q128JVS,http://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf,Package_SO:SOIC-8_5.3x5.3mm_P1.27mm,1,C97521
U3,USBLC6-2P6,https://www.st.com/resource/en/datasheet/usblc6-2.pdf,Package_TO_SOT_SMD:SOT-666,1,C15999
U4,NCP1117-3.3_SOT223,http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF,Package_TO_SOT_SMD:SOT-223-3_TabPin2,1,C26537
U5,RP2350_80QFN,,Package_DFN_QFN:QFN-80-1EP_10x10mm_P0.4mm_EP3.4x3.4mm_ThermalVias,1,C42415655
U6,LM324,http://www.ti.com/lit/ds/symlink/lm2902-n.pdf,Package_DIP:DIP-14_W7.62mm,1,C2325
U7,LM386,http://www.ti.com/lit/ds/symlink/lm386.pdf,Package_DIP:DIP-8_W7.62mm,1,C72126
Y1,ABM8-272-T3,~,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,1,C20625731
